Year,Date,Plot,Sub_Plot,ID,Treatment,Fire,T+F,Group,Species,Coverage
1,2021-10-11,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Bare,Bareground,7
1,2021-10-11,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Sedge,Bulbostylis spp.,7
1,2021-10-11,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Forb,Dichondra spp.,6
1,2021-10-11,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Grass,Paspalum notatum,6
1,2021-10-11,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Grass,Eremochloa ophiuroides,5
1,2021-10-11,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Grass,Cynodon dactylon,3
1,2021-10-11,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Sedge,Cyperus esculentus,2
1,2021-10-11,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Forb,Richardia spp.,2
1,2021-10-11,1,2,1-2-C,C,Sp,C-Sp,Grass,Paspalum setaceum,8
1,2021-10-11,1,2,1-2-C,C,Sp,C-Sp,Forb,Oxalis corniculata,6
1,2021-10-11,1,2,1-2-C,C,Sp,C-Sp,Forb,Richardia spp.,6
1,2021-10-11,1,2,1-2-C,C,Sp,C-Sp,Forb,Crotalaria rotundifolia,5
1,2021-10-11,1,2,1-2-C,C,Sp,C-Sp,Forb,Erigeron canadensis,5
1,2021-10-11,1,2,1-2-C,C,Sp,C-Sp,Forb,Rumex hastatulus,5
1,2021-10-11,1,2,1-2-C,C,Sp,C-Sp,Bare,Bareground,4
1,2021-10-11,1,2,1-2-C,C,Sp,C-Sp,Grass,Paspalum notatum,4
1,2021-10-11,1,2,1-2-C,C,Sp,C-Sp,Forb,Dichondra spp.,3
1,2021-10-11,1,2,1-2-C,C,Sp,C-Sp,Forb,Galactia spp.,3
1,2021-10-11,1,2,1-2-C,C,Sp,C-Sp,Forb,Lactuca canadensis,2
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Grass,Eragrostis spectabilis,9
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Grass,Paspalum notatum,5
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Forb,Pityopsis graminifolia,5
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Forb,Liatris gracilis,4
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Grass,Paspalum setaceum,4
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Forb,Dichondra spp.,3
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Forb,Richardia spp.,3
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Grass,Andropogon virginicus,2
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Bare,Bareground,2
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Sedge,Bulbostylis spp.,2
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Grass,Sorghastrum secundum,2
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Forb,Lactuca canadensis,1
